学科,模块,任务,主要要求,不可绕过要求,借力步骤,现有依据,规则,审核状态
"地理","模块三 水循环","海洋水体","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","地图、位置和区域联系是直接任务对象。","geography-space","待教研复核"
"地理","模块四 自然地理整体性与差异性","自然地理整体性","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","地图、位置和区域联系是直接任务对象。","geography-space","待教研复核"
"地理","模块四 自然地理整体性与差异性","自然地理差异性","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","地图、位置和区域联系是直接任务对象。","geography-space","待教研复核"
"地理","模块五 自然灾害与地理信息技术","自然灾害","空间","空间","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"地理","模块五 自然灾害与地理信息技术","地理信息技术","数理","数理、空间","推演：先连接已知条件，写出每一步能推出什么；空间：先画出对象和位置，标出题目给出的条件","数据变化是直接对象，推演与空间定位提供支持。","geography-data","待教研复核"
"地理","模块六 人口","人口","数理","数理、空间","推演：先连接已知条件，写出每一步能推出什么；空间：先画出对象和位置，标出题目给出的条件","数据变化是直接对象，推演与空间定位提供支持。","geography-data","待教研复核"
"地理","模块七 城镇化","城镇化","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","地图、位置和区域联系是直接任务对象。","geography-space","待教研复核"
"地理","模块八 产业区位因素","产业区位因素","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","地图、位置和区域联系是直接任务对象。","geography-space","待教研复核"
"地理","模块九 交通运输业","交通运输业","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","地图、位置和区域联系是直接任务对象。","geography-space","待教研复核"
"地理","模块十 能源资源开发","能源产业","数理","数理、空间","推演：先连接已知条件，写出每一步能推出什么；空间：先画出对象和位置，标出题目给出的条件","数据变化是直接对象，推演与空间定位提供支持。","geography-data","待教研复核"
"地理","模块十 能源资源开发","资源产业","数理","数理、空间","推演：先连接已知条件，写出每一步能推出什么；空间：先画出对象和位置，标出题目给出的条件","数据变化是直接对象，推演与空间定位提供支持。","geography-data","待教研复核"
"地理","模块十一 区域发展","我国的区域协调发展战略","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","地图、位置和区域联系是直接任务对象。","geography-space","待教研复核"
"地理","模块十二 地球运动","自转、公转、月相运动","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","地图、位置和区域联系是直接任务对象。","geography-space","待教研复核"
"技术","数据与计算","进制转化及编码","数理","数理","推演：先连接已知条件，写出每一步能推出什么","任务对象是数据与数量关系。","science-calculation","待教研复核"
"技术","数据与计算","多媒体容量计算","数理","数理","推演：先连接已知条件，写出每一步能推出什么","任务对象是数据与数量关系。","science-calculation","待教研复核"
"技术","数据与计算","人工智能","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"技术","数据与计算","Python语句的综合应用","数理","数理","推演：先连接已知条件，写出每一步能推出什么","任务对象是数据与数量关系。","science-calculation","待教研复核"
"技术","数据与计算","pandas模块与数据处理","数理","数理","推演：先连接已知条件，写出每一步能推出什么","任务对象是数据与数量关系。","science-calculation","待教研复核"
"技术","信息系统的搭建","信息系统综合应用","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"技术","数据与数据结构","常见字符串处理","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"技术","数据与数据结构","数组与链表的代码实现","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"技术","数据与数据结构","栈与队列的代码实现","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"技术","数据与数据结构","排序算法的代码实现","数理","数理","推演：先连接已知条件，写出每一步能推出什么","任务对象是数据与数量关系。","science-calculation","待教研复核"
"技术","数据与数据结构","二叉树与二分查找的代码实现","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"技术","数据与数据结构","迭代算法与递归算法","数理","数理","推演：先连接已知条件，写出每一步能推出什么","任务对象是数据与数量关系。","science-calculation","待教研复核"
"技术","技术与设计1","技术与设计","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"技术","技术与设计1","设计的一般过程","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"技术","技术与设计1","人机关系","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"技术","技术与设计1","图样绘制与模型制作","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"技术","技术与设计2","结构及其设计","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"技术","技术与设计2","系统与控制设计","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"技术","电子控制技术","电子元器件","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"技术","电子控制技术","门电路和触发器","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"技术","电子控制技术","二极管和三极管","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"技术","电子控制技术","综合电路","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
